iter	Logloss
0	0.6836711943
1	0.6720749361
2	0.6589943836
3	0.6477429885
4	0.638557085
5	0.6310592278
6	0.6212086691
7	0.6118830695
8	0.6019942695
9	0.5929224035
10	0.5848301144
11	0.5749530127
12	0.5667509454
13	0.5583420007
14	0.5503911692
15	0.5423187675
16	0.5369281807
17	0.5291407853
18	0.5229185013
19	0.5173848211
20	0.509424686
21	0.5057647577
22	0.4999000206
23	0.4951775545
24	0.488727366
25	0.4824768885
26	0.4768784994
27	0.4713624076
28	0.4661916689
29	0.4615366949
30	0.4566085221
31	0.4521467662
32	0.4490225202
33	0.4449376583
34	0.44127483
35	0.4381843264
36	0.4339588247
37	0.430614458
38	0.4269947728
39	0.4231374731
40	0.4208565037
41	0.4176106439
42	0.4147401544
43	0.4118487678
44	0.4090875845
45	0.4059988582
46	0.4036118626
47	0.4008300061
48	0.3973369787
49	0.3949983122
50	0.3920573623
51	0.3888631243
52	0.3860105278
53	0.3830196739
54	0.3809160929
55	0.3787137046
56	0.3761372406
57	0.3740594644
58	0.3718908015
59	0.3697216939
60	0.3678073703
61	0.3655160899
62	0.3632359648
63	0.3610108149
64	0.3593444331
65	0.3580494052
66	0.3563178438
67	0.3547367827
68	0.3527859544
69	0.3511783459
70	0.3488358649
71	0.3465929638
72	0.3449953034
73	0.3436870296
74	0.3426381747
75	0.3412802019
76	0.3400373419
77	0.3392135716
78	0.3379727252
79	0.336399697
80	0.3347502813
81	0.3333790593
82	0.3323418136
83	0.3306242057
84	0.3292507389
85	0.3273101949
86	0.3261369702
87	0.3252383292
88	0.3237606478
89	0.3224580747
90	0.321330835
91	0.3205072625
92	0.3190579743
93	0.3177974003
94	0.3170804536
95	0.3160119348
96	0.3149648574
97	0.3135828442
98	0.3126786986
99	0.3117413651
100	0.3110694516
101	0.3098183103
102	0.3086924618
103	0.3076090909
104	0.3067486867
105	0.3061918102
106	0.3052815535
107	0.3045988638
108	0.3036190193
109	0.3022043844
110	0.3013960488
111	0.3006698014
112	0.2997703218
113	0.2988628674
114	0.2975359607
115	0.2969003442
116	0.2961288727
117	0.2951926665
118	0.2945937038
119	0.2938737104
120	0.2932857275
