iter	Passed	Remaining
0	0	34
1	0	31
2	1	30
3	1	29
4	2	28
5	2	28
6	2	27
7	3	27
8	3	26
9	4	26
10	4	26
11	4	25
12	5	25
13	5	24
14	5	24
15	6	23
16	6	23
17	7	22
18	7	22
19	7	22
20	8	21
21	8	21
22	9	20
23	9	21
24	10	21
25	10	20
26	11	20
27	11	19
28	11	19
29	12	18
30	12	18
31	13	17
32	13	17
33	13	17
34	14	16
35	14	16
36	15	16
37	15	15
38	16	15
39	16	14
40	16	14
41	17	14
42	17	13
43	18	13
44	18	12
45	18	12
46	19	11
47	19	11
48	20	11
49	20	10
50	20	10
51	21	9
52	21	9
53	21	8
54	22	8
55	22	8
56	23	7
57	23	7
58	23	6
59	24	6
60	24	6
61	25	5
62	25	5
63	25	4
64	26	4
65	26	4
66	27	3
67	27	3
68	28	2
69	28	2
70	28	2
71	29	1
72	29	1
73	29	0
74	30	0
75	30	0
